day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
25	295	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
26	296	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
27	297	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
28	298	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
29	299	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
30	300	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
1	301	0	0	0.017241379	11	0	0	0.017241379	0.004077057	0.004077057	0	0.00060957	0
2	302	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.001117545	0
3	303	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.001625521	0
4	304	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.002133496	0
5	305	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.002539876	0
6	306	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.002946256	0
7	307	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.003352636	0
8	308	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.003657421	0
9	309	0	0	0.017241379	11	0	0	0.017241379	0.00397513	0.00397513	0	0.003962207	0
10	310	0	0	0.017241379	11	0	0	0.017241379	0.003873204	0.003873204	0	0.004165397	0
11	311	0	0	0.017241379	11	0	0	0.017241379	0.003873204	0.003873204	0	0.004368587	0
12	312	0	0	0.017241379	11	0	0	0.017241379	0.003873204	0.003873204	0	0.004571777	0
13	313	0	0	0.017241379	11	0	0	0.017241379	0.003873204	0.003873204	0	0.004673372	0
14	314	0	0	0.017241379	11	0	0	0.017241379	0.003873204	0.003873204	0	0.004774967	0
15	315	0	0	0	11	0	0	0	0.003873204	0.003873204	0	0.004876562	0
16	316	0	0	0	11	0	0	0	0.003873204	0.003873204	0	0.004876562	0
17	317	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.004774967	0
18	318	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.004774967	0
19	319	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.004673372	0
20	320	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.004470182	0
21	321	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.004266992	0
22	322	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.004063802	0
23	323	0	0	0	11	0	0	0	0.003771277	0.003771277	0	0.003860612	0
24	324	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.003555827	0
25	325	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.003149446	0
26	326	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.002844661	0
27	327	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.002336686	0
28	328	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.001930306	0
29	329	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.001422331	0
30	330	0	0	0	11	0	0	0	0.003669351	0.003669351	0	0.000914355	0
1	331	0	0	0	12	0	0	0	0	0	0	0	0
2	332	0	0	0	12	0	0	0	0	0	0	0	0
3	333	0	0	0	12	0	0	0	0	0	0	0	0
4	334	0	0	0	12	0	0	0	0	0	0	0	0
5	335	0	0	0	12	0	0	0	0	0	0	0	0
6	336	0	0	0	12	0	0	0	0	0	0	0	0
7	337	0	0	0	12	0	0	0	0	0	0	0	0
8	338	0	0	0	12	0	0	0	0	0	0	0	0
9	339	0	0	0	12	0	0	0	0	0	0	0	0
10	340	0	0	0	12	0	0	0	0	0	0	0	0
11	341	0	0	0	12	0	0	0	0	0	0	0	0
12	342	0	0	0	12	0	0	0	0	0	0	0	0
13	343	0	0	0	12	0	0	0	0	0	0	0	0
14	344	0	0	0	12	0	0	0	0	0	0	0	0
15	345	0	0	0	12	0	0	0	0	0	0	0	0
16	346	0	0	0	12	0	0	0	0	0	0	0	0
17	347	0	0	0	12	0	0	0	0	0	0	0	0
18	348	0	0	0	12	0	0	0	0	0	0	0	0
19	349	0	0	0	12	0	0	0	0	0	0	0	0
20	350	0	0	0	12	0	0	0	0	0	0	0	0
21	351	0	0	0	12	0	0	0	0	0	0	0	0
22	352	0	0	0	12	0	0	0	0	0	0	0	0
23	353	0	0	0	12	0	0	0	0	0	0	0	0
24	354	0	0	0	12	0	0	0	0	0	0	0	0
25	355	0	0	0	12	0	0	0	0	0	0	0	0
26	356	0	0	0	12	0	0	0	0	0	0	0	0
27	357	0	0	0	12	0	0	0	0	0	0	0	0
28	358	0	0	0	12	0	0	0	0	0	0	0	0
29	359	0	0	0	12	0	0	0	0	0	0	0	0
30	360	0	0	0	12	0	0	0	0	0	0	0	0
