day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
15	75	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
16	76	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002446234	0.002446234	0.004173878	0.003759017	0
17	77	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002446234	0.002446234	0.004173878	0.003759017	0
18	78	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002446234	0.002446234	0.004173878	0.003759017	0
19	79	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002446234	0.002446234	0.004173878	0.003759017	0
20	80	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.00254816	0.00254816	0.004173878	0.003759017	0
21	81	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.00254816	0.00254816	0.004173878	0.003759017	0
22	82	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.00254816	0.00254816	0.004173878	0.003759017	0
23	83	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.00254816	0.00254816	0.004173878	0.003759017	0
24	84	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002650087	0.002650087	0.004173878	0.003759017	0
25	85	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002650087	0.002650087	0.004173878	0.003759017	0
26	86	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002650087	0.002650087	0.004173878	0.003759017	0
27	87	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002650087	0.002650087	0.004173878	0.003759017	0
28	88	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002752013	0.002752013	0.004173878	0.003759017	0
29	89	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002752013	0.002752013	0.004173878	0.003759017	0
30	90	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002752013	0.002752013	0.004377482	0.003962207	0
1	91	0.006024096	0.019607843	0.009803922	4	0.005555556	0.019607843	0.009803922	0.002853939	0.002853939	0.004479283	0.004063802	0
2	92	0.006024096	0.019607843	0.009803922	4	0.005555556	0.019607843	0.009803922	0.002853939	0.002853939	0.004479283	0.004063802	0
3	93	0.006024096	0.019607843	0.009803922	4	0.005555556	0.019607843	0.009803922	0.002853939	0.002853939	0.004581085	0.004063802	0
4	94	0.006024096	0.019607843	0.009803922	4	0.005555556	0.019607843	0.009803922	0.002853939	0.002853939	0.004581085	0.004165397	0
5	95	0.006024096	0.019607843	0.009803922	4	0.005555556	0.019607843	0.009803922	0.002853939	0.002853939	0.004682887	0.004165397	0
