AGCENSUS_cat,AGCENSUS_group,AGCENSUS_subclass,QID,QDesc,LU_CODE,Detailed_Class,Summary_Class
linseed,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
lucerne,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
lupins,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
main-crop-potatoes,crops-and-fallow,#N/A,#N/A,#N/A,10,Ware potatoes,Arable
mainly-ware-potatoes,crops-and-fallow,#N/A,#N/A,#N/A,10,Ware potatoes,Arable
maize,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
mixed-grain-for-threshing,crops-and-fallow,#N/A,#N/A,#N/A,8,Winter oats,Arable
other-crops,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
other-crops-for-stockfeeding,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
other-crops-for-stock-feeding,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
peas-for-combining,crops-and-fallow,#N/A,#N/A,#N/A,12,Vegetables,Arable
rape-for-stockfeeding,crops-and-fallow,#N/A,#N/A,#N/A,6,Winter oil seed rape,Arable
rye,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
seed-potatoes,crops-and-fallow,#N/A,#N/A,#N/A,9,Seed potaoes,Arable
spring-barley-for-combining,crops-and-fallow,#N/A,#N/A,#N/A,1,Spring barley,Arable
spring-oats,crops-and-fallow,#N/A,#N/A,#N/A,7,Spring oats,Arable
spring-oilseed-rape,crops-and-fallow,#N/A,#N/A,#N/A,5,Spring oil seed rape,Arable
total-crops-set-aside-and-fallow,crops-and-fallow,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
triticale-for-combining,crops-and-fallow,#N/A,#N/A,#N/A,4,Winter wheat,Arable
turnips-and-swedes-for-stockfeeding,crops-and-fallow,#N/A,#N/A,#N/A,12,Vegetables,Arable
turnips-and-swedes-for-stock-feeding,crops-and-fallow,#N/A,#N/A,#N/A,12,Vegetables,Arable
unspecified-crops,crops-and-fallow,#N/A,#N/A,#N/A,13,Other arable,Arable
