"day" "day_of_year" "in_gr" "in_sp" "in_wi" "month" "or_gr" "or_sp" "or_wi" "up_gr" "up_ot" "up_sp" "up_wi" "zeros"
"64" 4 64 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"65" 5 65 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"66" 6 66 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"67" 7 67 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"68" 8 68 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"69" 9 69 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"70" 10 70 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"71" 11 71 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"72" 12 72 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"73" 13 73 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"74" 14 74 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"75" 15 75 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"76" 16 76 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00240000011399388 0.00240000011399388 0.00410000002011657 0.00370000000111759 0
"77" 17 77 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00240000011399388 0.00240000011399388 0.00410000002011657 0.00370000000111759 0
"78" 18 78 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00240000011399388 0.00240000011399388 0.00410000002011657 0.00370000000111759 0
"79" 19 79 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00240000011399388 0.00240000011399388 0.00410000002011657 0.00370000000111759 0
"80" 20 80 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00249999994412065 0.00249999994412065 0.00410000002011657 0.00370000000111759 0
"81" 21 81 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00249999994412065 0.00249999994412065 0.00410000002011657 0.00370000000111759 0
"82" 22 82 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00249999994412065 0.00249999994412065 0.00410000002011657 0.00370000000111759 0
"83" 23 83 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00249999994412065 0.00249999994412065 0.00410000002011657 0.00370000000111759 0
"84" 24 84 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00260000000707805 0.00260000000707805 0.00410000002011657 0.00370000000111759 0
"85" 25 85 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00260000000707805 0.00260000000707805 0.00410000002011657 0.00370000000111759 0
"86" 26 86 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00260000000707805 0.00260000000707805 0.00410000002011657 0.00370000000111759 0
"87" 27 87 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00260000000707805 0.00260000000707805 0.00410000002011657 0.00370000000111759 0
"88" 28 88 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00270000007003546 0.00270000007003546 0.00410000002011657 0.00370000000111759 0
"89" 29 89 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00270000007003546 0.00270000007003546 0.00410000002011657 0.00370000000111759 0
"90" 30 90 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00270000007003546 0.00270000007003546 0.00430000014603138 0.00389999989420176 0
"91" 31 91 0.00600000005215406 0.0199999995529652 0.00999999977648258 3 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00270000007003546 0.00270000007003546 0.00439999997615814 0.00389999989420176 0
"92" 1 92 0.00600000005215406 0.0199999995529652 0.00999999977648258 4 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00279999990016222 0.00279999990016222 0.00439999997615814 0.00400000018998981 0
"93" 2 93 0.00600000005215406 0.0199999995529652 0.00999999977648258 4 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00279999990016222 0.00279999990016222 0.00439999997615814 0.00400000018998981 0
"94" 3 94 0.00600000005215406 0.0199999995529652 0.00999999977648258 4 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00279999990016222 0.00279999990016222 0.0044999998062849 0.00400000018998981 0
"95" 4 95 0.00600000005215406 0.0199999995529652 0.00999999977648258 4 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00279999990016222 0.00279999990016222 0.0044999998062849 0.00410000002011657 0
"96" 5 96 0.00600000005215406 0.0199999995529652 0.00999999977648258 4 0.00549999997019768 0.0199999995529652 0.00999999977648258 0.00279999990016222 0.00279999990016222 0.00460000010207295 0.00410000002011657 0
"97" 6 97 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00289999996311963 0.00289999996311963 0.00460000010207295 0.00410000002011657 0
"98" 7 98 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00289999996311963 0.00289999996311963 0.00460000010207295 0.00419999985024333 0
"99" 8 99 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00289999996311963 0.00289999996311963 0.00469999993219972 0.00419999985024333 0
"100" 9 100 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00289999996311963 0.00289999996311963 0.00469999993219972 0.00419999985024333 0
"101" 10 101 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00289999996311963 0.00289999996311963 0.00480000022798777 0.00430000014603138 0
"102" 11 102 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00300000002607703 0.00300000002607703 0.00480000022798777 0.00430000014603138 0
"103" 12 103 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00300000002607703 0.00300000002607703 0.00480000022798777 0.00430000014603138 0
"104" 13 104 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00300000002607703 0.00300000002607703 0.00490000005811453 0.00439999997615814 0
"105" 14 105 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00300000002607703 0.00300000002607703 0.00490000005811453 0.00439999997615814 0
"106" 15 106 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00310000008903444 0.00310000008903444 0.00499999988824129 0.0044999998062849 0
"107" 16 107 0.00600000005215406 0 0 4 0.00549999997019768 0 0 0.00310000008903444 0.00310000008903444 0.00499999988824129 0.0044999998062849 0
